,upc,sale_period,promo_revenue,promo_profit,promo_start,promo_end,promo_length,preceding_non_promo_revenue,preceding_non_promo_profit,lift,profit_difference,Long_Desc
0,1138423201,1,554.61,76.45000000000005,2024-05-01,2024-05-28,28,505.08000000000004,188.60000000000002,1.0980636730814919,-112.14999999999998,Honey Greek Yogurt
1,1138423201,2,1069.3200000000002,147.4000000000001,2024-06-26,2024-08-12,48,510.57,190.65,2.0943651213349788,-43.249999999999915,Honey Greek Yogurt
2,1138423201,3,434.91,59.950000000000045,2024-09-11,2024-10-01,21,274.5,102.50000000000001,1.5843715846994537,-42.54999999999997,Honey Greek Yogurt
3,1138423201,4,179.55,26.10000000000001,2024-12-04,2024-12-17,14,165.01000000000002,66.12000000000002,1.0881158717653474,-40.02000000000001,Honey Greek Yogurt
4,1138423201,5,459.92,2.979999999999988,2025-01-08,2025-01-28,21,238.98000000000002,95.76000000000002,1.924512511507239,-92.78000000000003,Honey Greek Yogurt
5,1138423201,6,312.9,-45.15000000000001,2025-03-26,2025-04-01,7,75.27,30.939999999999998,4.15703467516939,-76.09,Honey Greek Yogurt
6,1138423202,1,722.19,99.55000000000005,2024-05-01,2024-05-28,28,664.2900000000002,248.04999999999998,1.087160727995303,-148.49999999999994,Plain Greek Yogurt
7,1138423202,2,1224.93,168.8500000000001,2024-06-26,2024-08-06,42,499.59,186.55,2.4518705338377473,-17.699999999999903,Plain Greek Yogurt
8,1138423202,3,442.89000000000004,61.05000000000003,2024-09-11,2024-10-01,21,428.21999999999997,159.9,1.034258091635141,-98.84999999999997,Plain Greek Yogurt
9,1138423202,4,299.25,43.5,2024-12-04,2024-12-17,14,199.14999999999998,79.80000000000001,1.5026362038664325,-36.30000000000001,Plain Greek Yogurt
10,1138423202,5,605.4300000000001,15.500000000000005,2025-01-08,2025-01-28,21,381.23,152.76000000000002,1.5880964247304779,-137.26000000000002,Plain Greek Yogurt
11,1138423202,6,491.7,-70.95000000000002,2025-03-26,2025-04-01,7,167.90999999999997,69.02,2.9283544756119353,-139.97000000000003,Plain Greek Yogurt
12,1299310201,1,2690.0,1507.18,2024-04-12,2024-04-30,19,612.8699999999999,255.75,4.389185308466723,1251.43,Grapefruit Sparkling Water
13,1299310201,2,2712.15,1548.93,2024-05-29,2024-06-25,28,797.39,271.5,3.4012841896687944,1277.43,Grapefruit Sparkling Water
14,1299310201,3,1125.0,571.25,2024-07-31,2024-08-13,14,441.53,144.72000000000003,2.547958236133445,426.53,Grapefruit Sparkling Water
15,1299310201,4,1051.0,465.4,2024-10-02,2024-10-15,14,455.93000000000006,156.42999999999998,2.3051784265128417,308.97,Grapefruit Sparkling Water
16,1299310201,5,990.12,369.0800000000001,2024-12-26,2025-01-26,32,1090.44,387.16000000000014,0.9080004401892814,-18.08000000000004,Grapefruit Sparkling Water
17,1299310201,6,1561.0,707.48,2025-04-02,2025-04-15,14,468.33000000000004,164.15000000000003,3.333119808681912,543.3299999999999,Grapefruit Sparkling Water
18,1299310202,1,490.0,273.52,2024-04-12,2024-04-30,19,171.34,71.5,2.8598109022995213,202.01999999999998,Coconut Sparkling Water
19,1299310202,2,876.32,510.4,2024-05-29,2024-06-25,28,355.85999999999996,119.76,2.462541448884393,390.64,Coconut Sparkling Water
20,1299310202,3,450.0,228.5,2024-07-31,2024-08-13,14,217.47000000000006,71.28000000000002,2.0692509311629186,157.21999999999997,Coconut Sparkling Water
21,1299310202,4,355.0,155.07999999999998,2024-10-02,2024-10-15,14,131.21,46.43,2.7055864644463075,108.64999999999998,Coconut Sparkling Water
22,1299310202,5,421.47,158.05000000000004,2024-12-26,2025-01-26,32,398.43,140.17000000000002,1.057826970860628,17.880000000000024,Coconut Sparkling Water
23,1299310202,6,598.0,271.12,2025-04-02,2025-04-15,14,209.70000000000002,73.5,2.8516928946113493,197.62,Coconut Sparkling Water
24,1299311202,1,420.0,235.71,2024-04-12,2024-04-30,19,125.21000000000001,52.25,3.354364667358837,183.46,Peach Pear Sparkling Water
25,1299311202,2,635.45,369.07,2024-05-29,2024-06-25,28,204.29000000000002,69.3,3.110529149738117,299.77,Peach Pear Sparkling Water
26,1299311202,3,459.0,233.07000000000002,2024-07-31,2024-08-13,14,138.39000000000001,45.36,3.3167136353782785,187.71000000000004,Peach Pear Sparkling Water
27,1299311202,4,428.0,180.68,2024-10-02,2024-10-15,14,95.46000000000001,33.26,4.483553320762622,147.42000000000002,Peach Pear Sparkling Water
28,1299311202,5,361.26,135.30000000000004,2024-12-26,2025-01-26,32,251.64000000000001,89.16000000000003,1.4356223175965663,46.140000000000015,Peach Pear Sparkling Water
29,1299311202,6,539.0,243.9,2025-04-02,2025-04-15,14,160.76999999999998,56.34999999999999,3.3526155377247004,187.55,Peach Pear Sparkling Water
30,1299311203,1,260.0,144.82,2024-04-15,2024-04-30,16,52.72,22.0,4.931714719271624,122.82,Mango Sparkling Water
31,1299311203,2,480.32,273.04,2024-05-30,2024-06-25,27,224.06,76.17,2.1437115058466483,196.87,Mango Sparkling Water
32,1299311203,3,369.0,187.37,2024-07-31,2024-08-13,14,98.85000000000002,32.400000000000006,3.732928679817905,154.97,Mango Sparkling Water
33,1299311203,4,340.0,138.48,2024-10-03,2024-10-15,13,55.12000000000001,19.28,6.168359941944846,119.19999999999999,Mango Sparkling Water
34,1299311203,5,167.25,62.430000000000014,2024-12-26,2025-01-26,32,167.76,59.03999999999999,0.9969599427753935,3.390000000000022,Mango Sparkling Water
35,1299311203,6,471.0,212.22,2025-04-02,2025-04-15,14,76.89,26.950000000000003,6.125634022629731,185.26999999999998,Mango Sparkling Water
36,1299311204,1,240.0,133.68,2024-04-15,2024-04-30,16,65.9,27.5,3.641881638846737,106.18,Apricot Sparkling Water
37,1299311204,2,562.9,319.76,2024-05-30,2024-06-25,27,177.92999999999998,59.099999999999994,3.16360366436239,260.65999999999997,Apricot Sparkling Water
38,1299311204,3,234.0,118.82000000000001,2024-07-31,2024-08-13,14,72.49000000000001,23.76,3.2280314526141534,95.06,Apricot Sparkling Water
39,1299311204,4,289.0,128.7,2024-10-02,2024-10-15,14,102.45,34.71,2.8208882381649585,93.98999999999998,Apricot Sparkling Water
40,1299311204,5,240.84,90.32000000000002,2024-12-26,2025-01-25,31,272.61,96.39000000000003,0.8834598877517332,-6.070000000000007,Apricot Sparkling Water
41,1299311204,6,259.0,118.26,2025-04-02,2025-04-15,14,104.85000000000001,36.74999999999999,2.4701955174058177,81.51000000000002,Apricot Sparkling Water
42,1299311205,1,290.0,162.12,2024-04-12,2024-04-30,19,79.08,33.0,3.667172483560951,129.12,Passionfruit Sparkling Water
43,1299311205,2,615.19,352.84999999999997,2024-05-29,2024-06-25,28,250.42000000000002,83.64,2.4566328568005753,269.21,Passionfruit Sparkling Water
44,1299311205,3,234.0,118.82000000000001,2024-07-31,2024-08-13,14,164.75000000000003,54.0,1.4203338391502274,64.82000000000001,Passionfruit Sparkling Water
45,1299311205,4,263.0,102.7,2024-10-04,2024-10-13,10,55.92,19.759999999999998,4.7031473533619454,82.94,Passionfruit Sparkling Water
46,1299311205,5,280.98,105.10000000000002,2024-12-27,2025-01-26,31,258.63,90.77000000000001,1.0864168889919963,14.330000000000013,Passionfruit Sparkling Water
47,1299311205,6,345.0,154.32,2025-04-02,2025-04-15,14,69.9,24.5,4.935622317596566,129.82,Passionfruit Sparkling Water
48,1299311206,1,790.0,441.21000000000004,2024-04-12,2024-04-30,19,177.93,74.25,4.439948294273028,366.96000000000004,Tangerine Sparkling Water
49,1299311206,2,1170.06,670.62,2024-05-29,2024-06-25,28,520.61,176.49,2.24747891896045,494.13,Tangerine Sparkling Water
50,1299311206,3,540.0,274.20000000000005,2024-07-31,2024-08-13,14,210.88,69.12,2.5606980273141122,205.08000000000004,Tangerine Sparkling Water
51,1299311206,4,447.0,185.94,2024-10-02,2024-10-15,14,192.52,67.0,2.32183669229171,118.94,Tangerine Sparkling Water
52,1299311206,5,428.16,160.32000000000005,2024-12-26,2025-01-26,32,538.23,191.97000000000003,0.7954963491444178,-31.649999999999977,Tangerine Sparkling Water
53,1299311206,6,1288.0,579.76,2025-04-02,2025-04-15,14,174.75,61.249999999999986,7.370529327610873,518.51,Tangerine Sparkling Water
54,1299311208,1,430.0,239.51000000000002,2024-04-13,2024-04-30,18,164.75000000000003,68.75,2.6100151745068283,170.76000000000002,Key Lime Sparkling Water
55,1299311208,2,738.61,423.17,2024-05-30,2024-06-25,27,263.59999999999997,89.13000000000001,2.8020106221547803,334.04,Key Lime Sparkling Water
56,1299311208,3,414.0,210.22000000000003,2024-08-01,2024-08-13,13,164.75000000000003,54.0,2.5128983308042483,156.22000000000003,Key Lime Sparkling Water
57,1299311208,4,420.0,163.52,2024-10-02,2024-10-13,12,130.01,45.23,3.230520729174679,118.29000000000002,Key Lime Sparkling Water
58,1299311208,5,287.67,107.85000000000002,2024-12-26,2025-01-26,32,349.5,124.5,0.8230901287553648,-16.649999999999977,Key Lime Sparkling Water
59,1299311208,6,544.0,244.35999999999999,2025-04-02,2025-04-15,14,104.85,36.75,5.188364329995232,207.60999999999999,Key Lime Sparkling Water
60,1299311211,1,1530.0,858.7,2024-04-12,2024-04-30,19,369.03999999999996,154.0,4.145892044222849,704.7,Limoncello Sparkling Water
61,1299311211,2,1500.6399999999999,859.18,2024-05-29,2024-06-25,28,474.48,160.44,3.162704434328106,698.74,Limoncello Sparkling Water
62,1299311211,3,486.0,246.78000000000003,2024-07-31,2024-08-13,14,237.24000000000004,77.76,2.0485584218512893,169.02000000000004,Limoncello Sparkling Water
63,1299311211,4,782.0,336.05,2024-10-02,2024-10-15,14,247.23999999999998,86.04,3.1629186215822687,250.01,Limoncello Sparkling Water
64,1299311211,5,474.99,176.45000000000005,2024-12-26,2025-01-26,32,594.1499999999999,213.65000000000003,0.7994445847008333,-37.19999999999999,Limoncello Sparkling Water
65,1299311211,6,1093.0,493.71999999999997,2025-04-02,2025-04-15,14,153.78,53.900000000000006,7.107556249187151,439.81999999999994,Limoncello Sparkling Water
66,1299311228,1,160.0,89.28,2024-04-17,2024-04-30,14,92.26,30.380000000000003,1.7342293518317797,58.9,Mojito Sparkling Water
67,1299311228,2,277.74,154.10000000000002,2024-05-30,2024-06-25,27,125.21000000000002,41.23000000000001,2.218193435029151,112.87,Mojito Sparkling Water
68,1299311228,3,144.0,73.28,2024-07-31,2024-08-10,11,32.95,10.85,4.370257966616085,62.43,Mojito Sparkling Water
69,1299311228,4,125.0,47.14,2024-10-02,2024-10-15,14,41.14000000000001,14.620000000000001,3.0384054448225566,32.519999999999996,Mojito Sparkling Water
70,1299311228,5,120.42,45.10000000000001,2024-12-27,2025-01-26,31,132.81,48.59,0.9067088321662525,-3.489999999999995,Mojito Sparkling Water
71,1299311228,6,385.0,171.62,2025-04-02,2025-04-15,14,55.92000000000001,19.599999999999998,6.884835479256079,152.02,Mojito Sparkling Water
72,1356200004,1,1905.0,1461.7968,2024-04-01,2024-04-30,30,,,,,Shells & White Cheddar Mac & Cheese
73,1356200004,2,3855.0,2552.2464,2024-05-29,2024-08-27,91,263.12,84.20480000000002,14.651109759805411,2468.0416,Shells & White Cheddar Mac & Cheese
74,1356200004,3,2985.0,1923.6016,2024-10-02,2024-11-05,35,233.22000000000003,75.30480000000001,12.799073835863132,1848.2967999999998,Shells & White Cheddar Mac & Cheese
75,1356200004,4,1894.0,1022.48,2025-01-02,2025-01-28,27,346.84000000000003,105.56000000000003,5.4607311728751,916.92,Shells & White Cheddar Mac & Cheese
76,1356200004,5,2073.0,1583.856,2025-02-26,2025-04-21,55,367.77000000000004,130.5652,5.636675095847948,1453.2908,Shells & White Cheddar Mac & Cheese
77,1356200045,1,1480.0,1133.048,2024-04-01,2024-04-30,30,,,,,Classic Macaroni & Cheese
78,1356200045,2,3107.0,2084.4192,2024-05-29,2024-08-27,91,149.50000000000003,51.365600000000015,20.78260869565217,2033.0535999999997,Classic Macaroni & Cheese
79,1356200045,3,2294.0,1493.4343999999999,2024-10-03,2024-11-05,34,149.5,44.500000000000014,15.34448160535117,1448.9343999999999,Classic Macaroni & Cheese
80,1356200045,4,1691.0,919.3199999999999,2025-01-01,2025-01-28,28,200.32999999999998,60.97,8.441072230819149,858.3499999999999,Classic Macaroni & Cheese
81,1356200045,5,1267.0,970.216,2025-02-27,2025-04-21,54,239.20000000000005,90.4544,5.296822742474915,879.7616,Classic Macaroni & Cheese
82,1356200056,1,58.0,42.331199999999995,2024-04-02,2024-04-18,17,,,,,Farm Friends Macaroni & Cheese
83,1356200056,2,136.0,95.55839999999999,2024-05-30,2024-06-24,26,17.94,5.340000000000001,7.580824972129319,90.21839999999999,Farm Friends Macaroni & Cheese
84,1356200056,3,97.0,65.8008,2024-07-31,2024-08-27,28,20.93,6.23,4.634495938843765,59.57079999999999,Farm Friends Macaroni & Cheese
85,1356200056,4,189.0,133.9,2024-10-04,2024-10-27,24,41.86,12.46,4.51505016722408,121.44,Farm Friends Macaroni & Cheese
86,1356200056,5,214.0,105.83999999999999,2025-01-03,2025-01-27,25,23.92,7.280000000000001,8.946488294314381,98.55999999999999,Farm Friends Macaroni & Cheese
87,1356200056,6,238.0,179.7424,2025-02-28,2025-04-21,53,32.89,10.990800000000002,7.236242018850715,168.7516,Farm Friends Macaroni & Cheese
88,1356230011,1,144.0,108.1856,2024-04-03,2024-04-27,25,,,,,Low Salt Macaroni & Cheese
89,1356230011,2,233.0,166.2512,2024-05-31,2024-06-23,24,26.91,8.010000000000002,8.65849126718692,158.24120000000002,Low Salt Macaroni & Cheese
90,1356230011,3,95.0,56.7968,2024-08-01,2024-08-18,18,20.93,6.23,4.538939321548018,50.5668,Low Salt Macaroni & Cheese
91,1356230011,4,158.0,106.6544,2024-10-10,2024-11-02,24,8.97,2.6700000000000004,17.61426978818283,103.9844,Low Salt Macaroni & Cheese
92,1356230011,5,214.0,107.91999999999999,2025-01-02,2025-01-26,25,23.92,7.280000000000001,8.946488294314381,100.63999999999999,Low Salt Macaroni & Cheese
93,1356230011,6,136.0,101.9248,2025-03-01,2025-04-20,51,29.900000000000002,10.080800000000002,4.548494983277592,91.84400000000001,Low Salt Macaroni & Cheese
94,1356230014,1,66.0,50.3312,2024-04-04,2024-04-28,25,,,,,Butter Parmesan Mac & Cheese Spirals
95,1356230014,2,108.0,74.2736,2024-05-31,2024-06-24,25,38.870000000000005,11.57,2.7784924105994335,62.7036,Butter Parmesan Mac & Cheese Spirals
96,1356230014,3,121.0,81.9664,2024-08-02,2024-08-27,26,65.78,19.580000000000005,1.8394648829431437,62.38639999999999,Butter Parmesan Mac & Cheese Spirals
97,1356230014,4,325.0,211.36319999999998,2024-10-04,2024-11-05,33,20.93,6.23,15.527950310559007,205.1332,Butter Parmesan Mac & Cheese Spirals
98,1356230014,5,320.0,168.16,2025-01-02,2025-01-25,24,23.92,7.280000000000001,13.37792642140468,160.88,Butter Parmesan Mac & Cheese Spirals
99,1356230014,6,174.0,128.93280000000001,2025-02-28,2025-04-21,53,23.92,7.280000000000001,7.274247491638795,121.65280000000001,Butter Parmesan Mac & Cheese Spirals
100,1356230016,1,1050.0,810.4912,2024-04-02,2024-04-30,29,,,,,Four Cheese Macaroni & Cheese
101,1356230016,2,1488.0,984.0536,2024-05-29,2024-08-27,91,71.76,21.360000000000007,20.735785953177256,962.6936,Four Cheese Macaroni & Cheese
102,1356230016,3,610.0,427.5664,2024-10-02,2024-11-05,35,98.67,29.370000000000005,6.182223573527922,398.1964,Four Cheese Macaroni & Cheese
